Nom Organisme;Court Organisme;Consultant;Synd;Nom Soc;Nom Client;Syndicat;Lib SectAct;Lib StatutPart;Nom Resp Org;Lib Civil;Court Civil;Adresse 1 Org;Adresse 2 Org;CP Org;Ville Org;Nom Pays;CP US;Tél Org;Fax Org;Site Org
SNCF Voyageurs;SNCF Voyageurs;FAUX;VRAI;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;2 place aux Etoiles;CS 70001;F-93633;LA PLAINE SAINT-DENIS Cedex;FRANCE;FAUX;+33 1 85 07 88 00;;
RATP;RATP;FAUX;FAUX;RATP;;RATP = 103;;;;;;50 rue Roger Salengro;;94724;FONTENAY-SOUS-BOIS Cedex;FRANCE;FAUX;01 58 78 20 20;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;4 allée des Gémeaux;;72100;LE MANS;FRANCE;FAUX;+33 2 43 78 67 14;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;17 rue d'Amsterdam;;75008;PARIS;FRANCE;FAUX;01 53 42 00 00;;
SNCF Réseau;SNCF Réseau;FAUX;FAUX;SNCF RESEAU;;SNCF Réseau = 104;;;;;;Immeuble Eurostade;6 avenue François Mitterrand;93574;LA PLAINE SAINT-DENIS Cedex;FRANCE;FAUX;+33 1 41 62 00 00;;
RAILTECH INTERNATIONAL (PANDROL);RAILTECH;FAUX;FAUX;RAILTECH;;FIF = 101;;;;;;ZI du Bas Pré;;59590;RAISMES;FRANCE;FAUX;03 27 22 26 26;;
VOSSLOH-COGIFER;VOSSLOH-COGIFER;FAUX;FAUX;VOSSLOH-COGIFER;;FIF = 101;;;;;;ZI;;02120;FERE-EN-TARDENOIS;FRANCE;FAUX;03 23 82 27 73;;
OUTREAU TECHNOLOGIES;OUTREAU TECHNO;FAUX;FAUX;OUTREAU TECHNOLOGIES;;Non adhérents = 999;;Petite ou moyenne entreprise;;;;BP 119;;62230;OUTREAU;FRANCE;FAUX;;;
CORUS Rail;CORUS RAIL;FAUX;FAUX;CORUS RAIL;;FIF = 101;;;;;;164 rue du Maréchal Foch;;57705;HAYANGE Cedex;FRANCE;FAUX;;;
VOSSLOH-COGIFER;VOSSLOH-COGIFER;FAUX;FAUX;VOSSLOH-COGIFER;;FIF = 101;;;;;;Rue des Forges;BP 01;67110;REICHSHOFFEN;FRANCE;FAUX;03 88 80 86 80;;
SNCF Réseau;SNCF Réseau;FAUX;VRAI;SNCF RESEAU;;SNCF Réseau = 104;;;;;;92 avenue de France;;F-75648;PARIS Cedex 13;FRANCE;FAUX;+33 1 53 94 30 00;;
ETF;ETF;FAUX;FAUX;ETF;;FIF = 101;;;;;;267 chaussée Jules César;;95250;BEAUCHAMP;FRANCE;FAUX;01 34 80 45 00;;
EPSF;EPSF;FAUX;VRAI;EPSF;;EPSF = 202;;;;;;60 rue de la Vallée;;F-80000;AMIENS;FRANCE;FAUX;+33 3 22 67 38 48;;
SATEBA CONSOLIS;SATEBA CONSOLIS;FAUX;FAUX;SATEBA;;FIF = 101;;;;;;33 place des Corolles;;92049;PARIS LA DEFENSE;FRANCE;FAUX;01 46 53 29 00;;
ACIERIES & LAMINOIRS DE RIVES;A. & L. RIVES;FAUX;FAUX;SNCF;;FIF = 101;;;;;;BP 60;;38147;RIVES Cedex;FRANCE;FAUX;+33 4 76 91 42 44;;
STRADAL;STRADAL;FAUX;FAUX;STRADAL;;FIF = 101;;;;;;47 avenue des Genottes;;95803;CERGY-PONTOISE;FRANCE;FAUX;;;
ANGST & PFISTER;ANGST & PFISTER;FAUX;FAUX;ANGST & PFISTER;;Non adhérents = 999;;;;;;ZAC Paris Nord II;BP 50115;95950;ROISSY-CDG Cedex;FRANCE;FAUX;+33 1 48 63 20 80;;
SATEBA;SATEBA;FAUX;FAUX;SATEBA;;FIF = 101;;;;;;Rue L.-J. Thénard;ZI Nord;71100;CHALON-SUR-SAONE;FRANCE;FAUX;03 85 97 21 40;;
SATEBA;SATEBA;FAUX;FAUX;SATEBA;;FIF = 101;;;;;;18 rue du Pont Libert;;37250;LA RICHE;FRANCE;FAUX;;;
BNIB;BNIB;FAUX;FAUX;BNIB;;Non adhérents = 999;;Opérateur de normalisation;;;;59 rue des Longs Réages;;28231;EPERNON Cedex;FRANCE;FAUX;;;
PANDROL;PANDROL;FAUX;FAUX;RAILTECH;;FIF = 101;;;;;;205 rue Sin le Noble;BP 261;59504;DOUAI Cedex;FRANCE;FAUX;03 27 99 64 00;;
SECO-RAIL;SECO-RAIL;FAUX;FAUX;SECO-RAIL;;Non adhérents = 999;;;;;;6 rue Emile Pathé;Espace Lumière;78403;CHATOU;FRANCE;FAUX;01 30 09 83 00;;
EGIS ENVIRONNEMENT;EGIS ENVIR.;FAUX;FAUX;EGIS;;FIF = 101;;;;;;40 avenue de la Marne;BP 47;59442;WASQUEHAL Cedex;FRANCE;FAUX;03 20 69 24 24;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;48 rue Albert Dhalenne;;93482;SAINT-OUEN Cedex;FRANCE;FAUX;+33 1 57 06 90 00;;
FREINRAIL;FREINRAIL;FAUX;FAUX;KNORR-BREMSE;;FIF = 101;;;;;;47-49 rue Gosset;BP 185;51057;REIMS;FRANCE;FAUX;03 26 79 72 00;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;11-13 avenue du Bel Air;;69627;VILLEURBANNE;FRANCE;FAUX;04 72 81 52 00;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;Avenue du Commandant Lysiack;BP 359;17001;LA ROCHELLE Cedex;FRANCE;FAUX;05 46 51 30 00;;
CARBONE LORRAINE;CARBONE LORRAIN;FAUX;FAUX;MERSEN FRANCE;;Non adhérents = 999;;;;;;41 avenue Jean-Jaurès;BP 148;92291;GENNEVILLIERS;FRANCE;FAUX;;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;1 rue Jean-Baptiste Marcet;BP 42;71202;LE CREUSOT Cedex;FRANCE;FAUX;03 85 73 60 00;;
sa;sa;FAUX;FAUX;SAINT-GOBAIN;;FIF = 101;;;;;;BP 32;;45600;SULLY-SUR-LOIRE;FRANCE;FAUX;02 38 37 30 00;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;11 boulevard Pasteur;;67500;HAGUENAU;FRANCE;FAUX;03 88 80 25 00;;25/02/2022 : changement d'adresse (transfert du site de Reichshoffen suite à sa cession par Alstom au groupe CAF)
PAULSTRA;PAULSTRA;FAUX;FAUX;PAULSTRA;;Non adhérents = 999;;Petite ou moyenne entreprise;;;;61 rue Marius Aufan;;92305;LEVALLOIS-PERRET Cedex;FRANCE;FAUX;;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;15 rue Traversière;;75580;PARIS Cedex 12;FRANCE;FAUX;01 53 33 72 07;;
SKF FRANCE RAILWAY;SKF;FAUX;FAUX;SKF;;FIF = 101;;;;;;34 avenue des Trois Peuples;;78180;MONTIGNY-LE-BRETONNEUX;FRANCE;FAUX;;;
UIC;UIC;FAUX;FAUX;UIC;;Non adhérents = 999;;;;;;16 rue Jean Rey;;75015;PARIS;FRANCE;FAUX;;;
MG VALDUNES;MG VALDUNES;FAUX;FAUX;MG VALDUNES;;FIF = 101;;;;;;BP 12;;59125;TRITH-SAINT-LEGER;FRANCE;FAUX;03 27 23 62 62;;
SIEMENS TRANSPORTATION SYSTEMS;SIEMENS;FAUX;FAUX;SIEMENS;;FIF = 101;;;;;;91 rue Nationale;BP 2045;59015;LILLE Cedex;FRANCE;FAUX;;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;Place des Ateliers;BP 1;59154;CRESPIN;FRANCE;FAUX;03 27 23 53 00;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;46 rue Saint-Lazare;;75009;PARIS;FRANCE;FAUX;;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;Parc d'activités Lavoisier;Rue Jacquard BP 45;59494;PETITE-FORET;FRANCE;FAUX;03.27.14.18.00;;
SNR ROULEMENTS;SNR ROULEMENTS;FAUX;FAUX;SNR ROULEMENTS;;FIF = 101;;;;;;1 rue des Usines;BP 2017;74010;ANNECY;FRANCE;FAUX;;;
YOUR WELDING PARTNER;WELDING PARTNER;FAUX;FAUX;YOUR WELDING PARTNER;;Non adhérents = 999;;Petite ou moyenne entreprise;;;;2 rue du Potager;;67500;HAGUENAU;FRANCE;FAUX;;;
SPENCER MOULTON;SPENCER MOULTON;FAUX;FAUX;SPENCER MOULTON;;FIF = 101;;;;;;21 rue de la Gare;;45330;MALESHERBES;FRANCE;FAUX;02 38 32 72 28;;
SNCF AEF;SNCF AEF;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;21 avenue du Président Allende;;94407;VITRY-SUR-SEINE Cedex;FRANCE;FAUX;+33 1 47 18 84 01;;
SKF FRANCE RAILWAY;SKF;FAUX;FAUX;SKF;;FIF = 101;;;;;;204 boulevard Charles de Gaulle;;37540;SAINT-CYR-SUR-LOIRE;FRANCE;FAUX;02 47 40 30 00;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;3 avenue des Trois Chênes;;90002;BELFORT Cedex;FRANCE;FAUX;03 84 55 61 61;;
RATP;RATP;FAUX;VRAI;RATP;;RATP = 103;;;;;;13 rue Jules Vallès;;F-75547;PARIS Cedex 11;FRANCE;FAUX;+33 1 58 78 20 20;;
ANSALDO STS FRANCE;ANSALDO;FAUX;FAUX;ANSALDO STS FRANCE;;FIF = 101;;;;;;4 avenue du Canada;BP 243;91944;LES ULIS Cedex;FRANCE;FAUX;01 69 29 65 65;;
HUTCHINSON LJF;HUTCHINSON LJF;FAUX;FAUX;HUTCHINSON LJF;;Non adhérents = 999;;;;;;173 rue Jules Guesde;;59100;ROUBAIX;FRANCE;FAUX;;;
VOITH TURBO;VOITH TURBO;FAUX;FAUX;VOITH TURBO;;FIF = 101;;;;;;21 rue de Clichy;;93584;SAINT-OUEN Cedex;FRANCE;FAUX;;;
CEN;CEN;FAUX;FAUX;CEN;;Non adhérents = 999;;Opérateur de normalisation;;;;6 avenue du Clos d'Ust;;44500;LA BAULE;FRANCE;FAUX;02 40 19 68 44;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;43-45 place Louis Armand;;75012;PARIS;FRANCE;FAUX;01 53 33 60 00;;
J.SAURON SA;J. SAURON SA;FAUX;FAUX;J.SAURON SA;;Non adhérents = 999;;Petite ou moyenne entreprise;;;;19 rue Pierre Josse;ZI Les Bordes;91924;BONDOUFLE;FRANCE;FAUX;;;
VOITH TURBO;VOITH TURBO;FAUX;FAUX;VOITH TURBO;;FIF = 101;;;;;;21 boulevard des Champy Richardets;;93166;NOISY-LE-GRAND Cedex;FRANCE;FAUX;01 49 21 10 80;;
RATP;RATP;FAUX;FAUX;RATP;;RATP = 103;;;;;;8 rue Sente à Bigots;;75019;PARIS;FRANCE;FAUX;;;
NTN - SNR;NTN - SNR;FAUX;FAUX;NTN - SNR;;Non adhérents = 999;;;;;;1 rue des Usines;;74010;ANNECY;FRANCE;FAUX;04 50 65 30 00;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;15bis rue Claude Collonges;;69002;LYON;FRANCE;FAUX;;;
BNF;BNF;FAUX;FAUX;BNF;; =;;Opérateur de normalisation;;;;22 rue des Capucines;;75002;PARIS;FRANCE;FAUX;01 71 19 78 90;;
CERTIFER;CERTIFER;FAUX;FAUX;CERTIFER;;Non adhérents = 999;;;;;;1 Place de Boussu;BP 70141;59411;ANZIN Cedex;FRANCE;FAUX;03 27 28 35 00;;
UTE;UTE;FAUX;FAUX;UTE;;Non adhérents = 999;;Opérateur de normalisation;;;;5 rue Chantecoq;;92808;PUTEAUX;FRANCE;FAUX;01 41 62 80 00;;
FIF;FIF;FAUX;VRAI;FIF;;FIF = 101;;;;;;60 rue Anatole France;;F-92532;LEVALLOIS-PERRET Cedex;FRANCE;FAUX;+33 1 55 63 83 60;+33 1 47 58 49 34;
AFNOR;AFNOR;FAUX;FAUX;AFNOR;;Non adhérents = 999;;Opérateur de normalisation;;;;11 avenue Francis de Pressensé;;93571;LA PLAINE SAINT-DENIS Cedex;FRANCE;FAUX;01 41 62 80 00;;
STRADAL;STRADAL;FAUX;FAUX;STRADAL;;FIF = 101;;;;;;Parc d'activités de l'Armançon;;89400;MIGENNES;FRANCE;FAUX;03 86 92 98 70;;
MINISTERE DES TRANSPORTS;MIN. TRANSP.;FAUX;FAUX;MINISTERE DES TRANSPORTS;;Non adhérents = 999;;Puissance publique;;;;La Grande Arche;;92055;PARIS-LA-DEFENSE Cedex;FRANCE;FAUX;;;
AFWP;AFWP;FAUX;VRAI;AFWP;;AFWP = 201;;;;;;Immeuble Cardinet - 7e étage;8 rue Bernard Buffet;F-75017;PARIS;FRANCE;FAUX;+33 1 49 07 25 21;;
STRATIFORME INDUSTRIES;STRATIFORME IND;FAUX;FAUX;STRATIFORME INDUSTRIES;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;570 rue du Pavé;;59235;BERSEE;FRANCE;FAUX;03 20 84 90 10;;
NIEF PLASTIC;NIEF PLASTIC;FAUX;FAUX;NIEF PLASTIC;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;10 rue Jean Rostand;BP 315;69745;GENAS Cedex;FRANCE;FAUX;;;
ECOLE DES MINES DE DOUAI;MINES DE DOUAI;FAUX;FAUX;ECOLE DES MINES DE DOUAI;;Non adhérents = 999;;Organisme d'enseignement sup.;;;;941 rue Charles Bourseul;BP 10838;59508;DOUAI Cedex;FRANCE;FAUX;03 27 71 22 22;;
MECELEC;MECELEC;FAUX;FAUX;MECELEC;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;Mauves;BP 96;07302;TOURNON;FRANCE;FAUX;04 75 07 87 07;;
BNPP;BNPP;FAUX;FAUX;BNPP;;Non adhérents = 999;;Opérateur de normalisation;;;;125 rue Aristide Briand;;92300;LEVALLOIS-PERRET;FRANCE;FAUX;01 44 01 16 21;;
LNE;LNE;FAUX;FAUX;LNE;;Non adhérents = 999;;;;;;29 avenue Roger Hennequin;;78197;TRAPPES Cedex;FRANCE;FAUX;01 30 69 10 00;;
CCP COMPOSITES;CCP COMPOSITES;FAUX;FAUX;CCP COMPOSITES;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;36 route d'Arras;;62320;DROCOURT;FRANCE;FAUX;03 21 74 84 00;;
MADER COMPOSITES;MADER;FAUX;FAUX;MADER COMPOSITES;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;1 Parc d'activités des Quatre Chemins;BP 4;95540;MERY-SUR-OISE;FRANCE;FAUX;;;
DCP;DCP;FAUX;FAUX;DCP PULTRUSION;;Non adhérents = 999;;Adhérent autre BN (CN mixte);;;;ZI de Nogent;BP 6;60104;CREIL;FRANCE;FAUX;03 44 65 62 62;;
