name;members;attached_to;status;address_1;address_2;postcode;city;country_code;phone_no;fax_no;misc
SEDIVER;FAUX;Non adhérents = 999;;46 avenue de Thiers;;03270;SAINT-YORRE;FRANCE;04 70 41 04 40;;
VOSSLOH-COGIFER KIHN;FAUX;Non adhérents = 999;;17 rue de l'Usine;;3754;RUMELANGE;LUXEMBOURG;56 47 71 1;;
SACOTTE PARTNERS;FAUX;Non adhérents = 999;Petite ou moyenne entreprise;67 promenade des Anglais;;06000;NICE;FRANCE;;;
AMPHENOL AIR LB;FAUX;Non adhérents = 999;;2 rue Clément Ader;ZAC du Wé;08110;CARIGNAN;FRANCE;03 24 22 78 49;;
ALSTOM;FAUX;FIF = 101;;Vaartdijkstraat 5;;8200;BRUGGE;BELGIQUE;+32 50 40 18 56;;
WABTEC;FAUX;FIF = 101;;Via Volvera 51;;10045;PIOSSASCO (TO);ITALIE;;;
SNCF Voyageurs;FAUX;SNCF Voyageurs = 102;;2bis rue Aristide Briand;;10100;ROMILLY-SUR-SEINE;FRANCE;03 25 39 62 44;;
ALSTOM;FAUX;FIF = 101;;Via Ottavio Moreno 23;;12038;SAVIGLIANO CN;ITALIE;;;
ACTIA TELECOM;FAUX;Non adhérents = 999;;Route de Mayres;Saint-Georges-de-Luzençon;12103;MILLAU Cedex;FRANCE;05 65 62 37 40;;
SYSTEREL;FAUX;Non adhérents = 999;;Porte de l'Arbois;1090 rue René Descartes;13100;AIX EN PROVENCE;FRANCE;;;
ALSTOM;FAUX;FIF = 101;;ZI de Couperigne;Immeuble Les Chênes;13127;VITROLLES;FRANCE;;;
ALTRAIX INTERNATIONAL;FAUX;Non adhérents = 999;;41 impasse de la Noria;;13480;CABRIES;FRANCE;;;
ALSTOM HYDROGENE SAS;FAUX;FIF = 101;;Domaine du Petit Arbois - Bât. J. Verne;Avenue Louis Philibert;13547;AIX-EN-PROVENCE;FRANCE;;;
FASSETA MECANIQUE;FAUX;Non adhérents = 999;;36 boulevard de la Gare;;13713;LA PENNE-SUR-HUVEAUNE;FRANCE;;;
SAFT;FAUX;FIF = 101;;Zone industrielle de Nersac;;16440;NERSAC;FRANCE;05 45 90 50 26;;
WABTEC CORPORATION;FAUX;FIF = 101;;2901 E LAKE ROAD;;16531;ERIE PA;ETATS-UNIS;;;
ALSTOM;FAUX;FIF = 101;;Avenue du Commandant Lysiack;BP 359;17001;LA ROCHELLE Cedex;FRANCE;05 46 51 30 00;;
CRITT MATERIAUX;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);Rue Maurice Mallet;ZA Béligon;17303;ROCHEFORT Cedex;FRANCE;05 46 83 93 81;;
COMPIN FRONT ENDS;FAUX;Non adhérents = 999;;19 rue Galilée;DEFI 22 - ZAC de Belle Ayre;17440;AYTRE;FRANCE;05 46 45 85 16;;
ALSTOM;FAUX;FIF = 101;;33 avenue du Commandant Lysiack;;17440;AYTRE;FRANCE;;;
MASTERS COMPOSITES;FAUX;Non adhérents = 999;Adhérent autre BN (CN mixte);Rue Pythagore;ZI de Belle Ayre - BP 49;17442;AYTRE Cedex;FRANCE;;;
COFREN SAS;FAUX;FIF = 101;;21bis boulevard de la Liberté;;18100;VIERZON;FRANCE;;;
FMAM;FAUX;Non adhérents = 999;Petite ou moyenne entreprise;Lieu dit Sarré;;18140;SANCERGUES;FRANCE;;;
INVEHO;FAUX;AFWP = 201;;Route de l'Ombrée;;18200;ORVAL;FRANCE;;;
